ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,Khoảng cách đường bộ km,khoang_cach_chim_bay_km,tinh_thanh_sau_sap_nhap,tinh_thanh,khoang_cach_chim_bay,Khoảng cách đường bộ,thời gian,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord
92200000,CN 6 Thành phố Hồ Chí Minh,106.6648231,10.7532743,90635000,PGD Đô Thành,106.6756618,10.7892362,6.3,4.170376797901768,TP. Hồ Chí Minh,,,,,92200000__90635000,90635000__92200000,"10.75327,106.66482__10.78924,106.67566","10.75327,106.66482__10.78924,106.67566"
92400000,CN 7 Thành phố Hồ Chí Minh,106.6991015,10.801716,90635000,PGD Đô Thành,106.6756618,10.7892362,5.1,2.91213934509922,TP. Hồ Chí Minh,,,,,92400000__90635000,90635000__92400000,"10.80172,106.69910__10.78924,106.67566","10.78924,106.67566__10.80172,106.69910"
92600000,CN 8 Thành phố Hồ Chí Minh,106.6653111,10.7423991,90635000,PGD Đô Thành,106.6756618,10.7892362,7.7,5.32937302119892,TP. Hồ Chí Minh,,,,,92600000__90635000,90635000__92600000,"10.74240,106.66531__10.78924,106.67566","10.74240,106.66531__10.78924,106.67566"
92631000,PGD Xóm Củi,106.65075,10.7477778,90635000,PGD Đô Thành,106.6756618,10.7892362,7.6,5.353238127327837,TP. Hồ Chí Minh,,,,,92631000__90635000,90635000__92631000,"10.74778,106.65075__10.78924,106.67566","10.74778,106.65075__10.78924,106.67566"
92800000,CN 9 Thành phố Hồ Chí Minh,106.6788024,10.82797,90635000,PGD Đô Thành,106.6756618,10.7892362,5.7,4.320640190692013,TP. Hồ Chí Minh,,,,,92800000__90635000,90635000__92800000,"10.82797,106.67880__10.78924,106.67566","10.78924,106.67566__10.82797,106.67880"
93230000,PGD Vĩnh Lộc,106.596,10.8158889,90635000,PGD Đô Thành,106.6756618,10.7892362,11.6,9.191890023335468,TP. Hồ Chí Minh,,,,,93230000__90635000,90635000__93230000,"10.81589,106.59600__10.78924,106.67566","10.78924,106.67566__10.81589,106.59600"
94000000,CN 10 Thành phố Hồ Chí Minh,106.673082,10.765361,90635000,PGD Đô Thành,106.6756618,10.7892362,3.9,2.669715465871468,TP. Hồ Chí Minh,,,,,94000000__90635000,90635000__94000000,"10.76536,106.67308__10.78924,106.67566","10.76536,106.67308__10.78924,106.67566"
94030000,PGD Lý Thường Kiệt,106.6576503,10.7716481,90635000,PGD Đô Thành,106.6756618,10.7892362,5.5,2.774096973916039,TP. Hồ Chí Minh,,,,,94030000__90635000,90635000__94030000,"10.77165,106.65765__10.78924,106.67566","10.77165,106.65765__10.78924,106.67566"
94200000,CN 11 Thành phố Hồ Chí Minh,106.6474356,10.7568213,90635000,PGD Đô Thành,106.6756618,10.7892362,8.8,4.743226545608259,TP. Hồ Chí Minh,,,,,94200000__90635000,90635000__94200000,"10.75682,106.64744__10.78924,106.67566","10.75682,106.64744__10.78924,106.67566"
94231000,PGD Tên Lửa,106.61129,10.75028,90635000,PGD Đô Thành,106.6756618,10.7892362,12.4,8.25889001116929,TP. Hồ Chí Minh,,,,,94231000__90635000,90635000__94231000,"10.75028,106.61129__10.78924,106.67566","10.75028,106.61129__10.78924,106.67566"
